F3 Value,FC6 Value,P7 Value,T8 Value,F7 Value,F8 Value,T7 Value,P8 Value,AF4 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value,X Value,Y Value,Z Value,Unknown Value
-224640,-1254240,-860928,-2544,-113232,-237800,-3864,-1292928,-2608,-2095488,-351072,-1124816,-1536280,-306832,0,0,,407456
-228096,-1214040,-826944,-2736,-62008,-257856,-4248,-931840,-3024,-2241864,-352728,-1161336,-1464640,-345440,0,0,,407456
-206208,-1246200,-560736,-2768,-72792,-230112,-4104,-506688,-1336,-2149416,-339480,-1197856,-1265640,-290576,0,0,,407456
-193536,-1157760,-628704,-2736,-91664,-194208,-4368,-902720,-1336,-1949112,-334512,-1102904,-1345240,-306832,0,0,,384
-180864,-1077360,-821280,-2768,-51224,-197472,-4368,-1030848,-1360,-1887480,-314640,-1102904,-1424840,-327152,0,0,,136
-164736,-1045200,-792960,-2768,-29656,-197472,-3960,-634816,-1296,-1879776,-298080,-1234376,-1313400,-292608,0,0,,432
-183168,-1029120,-730656,-2720,-67400,-187680,-4392,-500864,-1456,-1864368,-301392,-1248984,-1440760,-331216,0,0,,456
-188928,-1093440,-724992,-2720,-110536,-200736,-4152,-815360,-1264,-1787328,-301392,-1124816,-1528320,-296672,0,0,,0
-168192,-1093440,-866592,-2816,-56616,-204000,-4200,-1054144,-1320,-1787328,-273240,-1088296,-1329320,-310896,0,0,,168
-158976,-932640,-832608,-2768,48528,-177888,-4392,-797888,-1416,-1787328,-250056,-1139424,-1201960,-327152,0,0,,176
-163584,-980880,-549408,-2656,24264,-189312,-4128,-489216,-1288,-1810440,-286488,-1146728,-1329320,-294640,0,0,,184
-182016,-1254240,-724992,-2736,-48528,-226848,-4344,-634816,-1456,-1964520,-329544,-1161336,-1639760,-341376,0,0,,384
-182016,-1294440,-979872,-2768,-43136,-218688,-4104,-774592,-1352,-1933704,-308016,-1146728,-1607920,-308864,0,0,,400
-184320,-1141680,-741984,-2736,-43136,-207264,-4176,-564928,-1344,-1841256,-319608,-1066384,-1273600,-310896,0,0,,0
-185472,-1013040,-679680,-2784,-75488,-223584,-4272,-652288,-1368,-1779624,-344448,-1029864,-1249720,-335280,0,0,,648
-161280,-956760,-911904,-2784,-91664,-230112,-3984,-1001728,-1208,-1602432,-317952,-1051776,-1305440,-292608,0,0,,0
-160128,-996960,-809952,-2768,-115928,-225216,-4440,-850304,-1424,-1602432,-311328,-1117512,-1170120,-335280,0,0,,232
-168192,-1021080,-594720,-2704,-121320,-218688,-4152,-693056,-1368,-1733400,-314640,-1088296,-1194000,-312928,0,0,,480
-163584,-924600,-719328,-2752,-64704,-207264,-4056,-931840,-1344,-1733400,-286488,-1044472,-1393000,-300736,0,0,,248
-158976,-908520,-804288,-2832,-35048,-199104,-4296,-838656,-1392,-1602432,-286488,-1110208,-1369120,-323088,0,0,,0
-169344,-1045200,-634368,-2832,-107840,-210528,-3984,-425152,-1208,-1556208,-327888,-1073688,-1186040,-284480,0,0,,792
-182016,-1021080,-651360,-2832,-140192,-200736,-4344,-401856,-1432,-1617840,-326232,-942216,-1209920,-329184,0,0,,0
-172800,-996960,-758976,-2784,-94360,-195840,-4152,-588224,-1384,-1664064,-296424,-1007952,-1194000,-331216,0,0,,560
-182016,-1189920,-747648,-2720,-67400,-223584,-4032,-914368,-1312,-1771920,-303048,-1161336,-1114400,-319024,0,0,,0
-196992,-1254240,-753312,-2752,-91664,-225216,-4296,-1298752,-1480,-1756512,-304704,-1139424,-1281560,-333248,0,0,,888
-185472,-1133640,-708000,-2816,-118624,-220320,-3912,-937664,-1328,-1625544,-303048,-1146728,-1464640,-296672,0,0,,0
-194688,-1206000,-572064,-2864,-97056,-233376,-4224,-390208,-1408,-1717992,-344448,-1307416,-1432800,-339344,0,0,,0
-206208,-1366800,-691008,-2800,-94360,-259488,-4248,-652288,-1320,-1741104,-347760,-1343936,-1432800,-325120,0,0,,0
-183168,-1286400,-940224,-2768,-150976,-256224,-4128,-1036672,-1296,-1617840,-303048,-1161336,-1504440,-308864,0,0,,984
-172800,-1141680,-753312,-2848,-180632,-215424,-4392,-1007552,-1472,-1671768,-286488,-1073688,-1329320,-347472,0,0,,336
-170496,-1181880,-521088,-2832,-115928,-212160,-4080,-832832,-1248,-1756512,-286488,-1154032,-1186040,-292608,0,0,,1032
-161280,-1222080,-747648,-2784,-72792,-226848,-4344,-704704,-1328,-1748808,-283176,-1197856,-1432800,-306832,0,0,,0
-154368,-1085400,-792960,-2752,-110536,-195840,-4200,-681408,-1360,-1633248,-284832,-1154032,-1440760,-306832,0,0,,1080
