F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
-5.75,37.25,-33.25,15.0,30.75,-13.75,-5.75,-2.0,13.5,-58.0,-6.75,-9.25
-18.25,-19.0,-85.5,38.75,-16.75,-165.75,-21.75,-149.5,-4.75,-54.75,-132.5,-177.5
-15.75,35.5,-78.75,18.25,27.75,-45.25,-21.0,-25.25,13.5,-106.75,-39.0,-43.25
39.25,42.5,-3.75,92.75,38.75,-133.75,46.5,-129.0,49.5,39.0,-99.75,-142.5
-95.0,-52.75,-114.25,-83.75,-65.75,-73.0,-86.5,-42.0,-73.0,-130.0,-69.5,-77.5
-11.5,-10.5,-29.5,8.5,-15.5,-126.5,7.25,-132.0,-1.0,-10.25,-94.25,-135.5
-30.5,25.5,-98.0,-39.25,16.75,-50.5,-29.5,-20.25,-5.0,-112.0,-48.75,-51.75
0.0,9.25,-58.75,16.0,6.5,-151.5,8.75,-153.5,18.75,-38.75,-124.5,-165.5
54.5,111.0,-2.5,24.5,101.5,-12.0,64.75,3.75,92.5,-5.25,-11.5,-7.25
-66.5,-66.0,-87.0,-63.0,-67.25,-171.0,-48.5,-159.0,-49.75,-48.25,-148.25,-186.5
-19.75,21.25,-45.75,-19.25,9.25,-12.5,-12.75,-4.5,5.25,-66.0,-11.0,-11.25
-3.5,-4.5,-64.5,33.25,-10.75,-150.25,-8.5,-139.5,-0.75,-26.0,-122.0,-163.25
-10.75,23.25,-78.5,-25.0,9.25,-45.5,-39.5,-27.0,-16.25,-97.0,-43.75,-45.75
87.75,55.25,15.25,71.25,48.75,-115.5,58.0,-122.25,52.25,60.0,-87.5,-125.25
-67.0,-56.25,-115.75,-115.25,-66.0,-62.25,-102.25,-35.5,-81.0,-123.0,-69.5,-69.25
-24.0,-42.75,-49.25,-29.5,-43.5,-127.25,-48.75,-138.0,-30.5,-19.5,-106.5,-141.25
-61.5,-6.25,-83.5,-68.25,-20.75,-42.25,-70.0,-15.5,-36.0,-82.75,-46.75,-42.5
-78.75,-65.75,-75.75,-67.75,-79.0,-167.0,-84.25,-160.25,-61.0,-40.75,-143.5,-182.5
12.5,66.0,-5.5,-31.75,48.0,-13.5,-15.75,1.5,40.75,-5.75,-9.75,-9.25
-80.0,-92.5,-90.0,-106.75,-96.5,-174.75,-97.25,-159.25,-79.25,-53.5,-145.5,-192.0
-35.0,1.25,-56.0,-76.5,-8.5,-22.75,-45.5,-13.0,-19.5,-76.75,-20.5,-27.0
-3.0,-19.75,-36.5,0.0,-16.5,-140.75,-12.0,-136.25,-5.25,14.25,-113.75,-155.75
-61.25,-62.0,-88.5,-91.75,-54.75,-55.5,-79.0,-33.5,-74.5,-96.25,-55.5,-59.5
69.0,7.5,10.0,41.0,29.5,-114.25,47.25,-120.25,28.5,60.5,-83.5,-123.25
-24.75,-37.75,-109.0,-80.5,-19.75,-58.75,-76.5,-28.75,-45.25,-105.75,-58.0,-61.75
26.0,-22.75,-41.25,15.5,0.0,-133.25,-9.25,-141.0,-1.25,-9.0,-104.75,-145.5
16.5,53.0,-31.25,8.5,53.5,-25.0,9.5,-4.5,29.25,-25.5,-24.5,-26.0
-45.75,-41.5,-66.75,-30.0,-44.75,-165.75,-31.75,-161.75,-35.25,-29.5,-143.25,-184.5
50.75,98.5,-9.25,26.75,90.75,-5.5,56.5,4.5,68.5,-18.5,-3.0,-3.25
-3.5,6.75,-91.5,-1.75,7.5,-163.0,1.0,-148.5,6.25,-52.25,-137.0,-181.5
20.25,78.25,-71.5,2.25,69.25,-27.0,12.25,-16.75,47.5,-92.0,-28.75,-30.75
51.75,55.5,-9.25,76.0,57.0,-128.75,54.0,-127.0,60.0,39.5,-100.75,-140.0
-67.0,-21.75,-99.0,-55.0,-29.75,-59.75,-62.5,-35.75,-47.0,-104.0,-59.75,-65.75
45.0,41.75,-7.5,78.0,36.25,-112.5,53.25,-124.25,50.5,32.5,-81.5,-124.5
-6.0,46.75,-105.5,-4.0,37.25,-53.0,-9.0,-21.0,17.25,-108.25,-47.0,-54.5
22.0,25.0,-63.5,66.0,21.5,-143.5,21.25,-146.75,38.5,-33.25,-115.25,-160.5
56.75,102.75,-20.25,56.0,91.0,-12.75,44.0,0.25,77.0,-21.75,-16.0,-18.25
-56.75,-60.5,-82.5,-29.5,-61.25,-167.5,-49.5,-162.0,-54.5,-51.75,-147.5,-189.75
-19.5,24.75,-39.0,22.0,17.25,-4.0,-10.0,-1.5,12.25,-52.25,-9.5,-7.0
-16.0,-19.25,-81.75,52.5,-25.0,-151.75,-12.0,-146.5,4.5,-43.0,-130.0,-168.75
-11.0,34.75,-77.25,28.25,31.5,-41.5,-12.25,-27.5,20.75,-98.0,-38.5,-41.5
47.75,44.5,3.0,109.25,61.5,-124.5,60.0,-127.5,60.0,56.75,-94.0,-135.0
-81.75,-42.75,-107.5,-75.0,-37.5,-66.5,-79.5,-38.0,-70.25,-114.25,-65.25,-72.75
0.0,-2.75,-22.0,11.25,5.25,-121.75,1.5,-130.25,-8.5,8.5,-89.0,-133.5
-30.0,21.0,-82.25,-42.75,21.75,-39.25,-44.0,-13.0,-15.0,-81.0,-38.75,-43.5
