T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-325.0,-246.5,-276.0,-233.0,-210.0
134.75,71.75,65.0,63.0,-5.0
-317.75,-257.75,-263.25,-229.75,-207.25
125.5,20.25,34.75,48.25,-17.0
-296.75,-172.0,-190.75,-206.0,-179.75
111.25,30.0,29.5,32.5,-29.25
-280.25,-156.0,-180.0,-191.0,-162.25
120.75,39.0,48.75,47.0,-16.5
-291.75,-193.75,-207.25,-198.25,-175.5
146.5,135.0,127.75,77.5,9.75
-305.0,-194.75,-209.0,-210.5,-188.0
156.75,121.75,132.5,87.5,19.0
-290.25,-179.0,-179.25,-198.0,-176.5
139.25,74.0,86.25,67.75,-0.5
-275.5,-105.75,-131.25,-178.0,-156.75
124.0,60.0,62.5,50.75,-18.0
-273.5,-151.75,-165.25,-180.0,-157.75
128.75,66.25,76.0,57.25,-11.0
-298.75,-209.75,-229.0,-209.25,-187.5
144.5,121.25,108.75,72.25,4.75
-316.5,-227.5,-240.0,-224.75,-203.75
139.25,66.75,75.25,64.0,-2.5
-303.0,-195.75,-213.75,-214.75,-191.0
116.0,33.0,24.25,36.25,-28.5
-284.5,-144.5,-190.75,-201.25,-172.75
112.5,20.5,11.5,28.75,-34.5
-285.5,-188.5,-205.5,-197.25,-172.25
140.5,102.0,95.5,65.0,-0.75
-290.25,-169.5,-205.0,-201.5,-179.75
170.5,184.0,163.25,101.25,32.5
-277.75,-138.5,-160.75,-185.25,-161.25
178.5,164.75,161.25,108.75,42.75
-244.25,-33.25,-61.0,-144.25,-122.75
174.25,195.25,187.25,104.5,35.75
-218.0,26.75,-3.5,-120.75,-100.5
177.25,203.5,219.75,109.25,39.0
-226.25,-28.75,-32.5,-131.5,-110.5
211.75,284.75,286.5,140.75,72.0
-232.5,-13.5,-26.25,-139.75,-118.75
237.25,334.0,344.0,165.5,97.0
-206.0,42.0,50.25,-111.5,-93.0
240.75,345.75,366.5,174.5,101.75
-159.0,180.75,168.0,-59.75,-43.5
254.75,383.5,399.75,184.75,111.0
-134.75,211.25,213.5,-36.75,-15.75
265.0,418.25,453.5,197.75,129.0
-165.25,154.25,164.0,-65.5,-50.25
265.5,464.0,475.5,202.75,125.25
-201.5,80.75,84.75,-105.25,-94.5
249.25,349.75,381.75,179.5,102.25
-200.5,52.75,69.0,-107.25,-90.5
223.25,293.5,315.25,152.0,79.25
-187.75,115.75,101.75,-89.25,-73.25
196.0,254.25,272.75,125.5,50.75
-220.75,-12.75,-9.75,-126.0,-111.0
168.25,171.0,195.75,94.5,21.0
-277.75,-154.75,-160.75,-192.0,-170.5
